id,MIN
LIZ1_000000119,MZP_000000074
LIZ1_000000038,MZP_000000002
LIZ1_000383108,MZP_000000571
LIZ1_000000028,MZP_000000010
LIZ1_000000200,MZP_000000023
LIZ1_000000248,MZP_000000007
LIZ1_000000289,MZP_000000006
LIZ1_000000002,MZP_000000014
LIZ1_000000210,MZP_000000192
LIZ1_000003393,MZP_000000145
LIZ1_000000001,MZP_000000133
LIZ1_000004467,MZP_000000025
LIZ1_000000451,MZP_000000281
LIZ1_000004362,MZP_000005448
LIZ1_000000999,MZP_000000864
LIZ1_000000222,MZP_000000015
LIZ1_000382564,MZP_000002030
LIZ1_000000311,MZP_000000012
LIZ1_000000003,MZP_000000016
LIZ1_000000012,MZP_000000029
LIZ1_000000837,MZP_000000698
LIZ1_000000380,MZP_000000004
LIZ1_000005344,MZP_000000154
LIZ1_000000572,MZP_000000160
LIZ1_000021313,MZP_000000112
LIZ1_000005515,MZP_000002186
LIZ1_000001245,MZP_000000054
LIZ1_000000105,MZP_000000126
LIZ1_000000674,MZP_000000109
LIZ1_000098108,MZP_000003678
LIZ1_000000057,MZP_000000057
LIZ1_000000078,MZP_000000099
LIZ1_000005688,MZP_000003694
LIZ1_000000005,MZP_000002291
LIZ1_000409222,MZP_000001977
LIZ1_000002546,MZP_000000017
LIZ1_000000915,MZP_000000189
LIZ1_000000299,MZP_000000123
LIZ1_000004544,MZP_000000773
LIZ1_000004381,MZP_000000064
LIZ1_000003867,MZP_000000540
LIZ1_000000180,MZP_000000354
LIZ1_000022496,MZP_000000093
LIZ1_000000037,MZP_000000037
LIZ1_000000061,MZP_000000021
LIZ1_000003121,MZP_000002343
LIZ1_000001545,MZP_000000079
LIZ1_000000855,MZP_000000001
LIZ1_000004565,MZP_000000089
LIZ1_000003107,MZP_000000440
LIZ1_000033199,MZP_000000684
LIZ1_000000076,MZP_000000105
LIZ1_000000585,MZP_000000484
LIZ1_000004407,MZP_000003583
LIZ1_000009712,MZP_000000030
LIZ1_000002638,MZP_000000009
LIZ1_000004513,MZP_000000090
LIZ1_000004431,MZP_000000251
LIZ1_000004440,MZP_000000381
LIZ1_000304163,MZP_000000321
LIZ1_000004357,MZP_000000170
LIZ1_000079259,MZP_000000163
LIZ1_000000015,MZP_000000922
LIZ1_000007450,MZP_000000032
LIZ1_000065059,MZP_000000434
LIZ1_000000978,MZP_000000101
LIZ1_000000228,MZP_000000553
LIZ1_000000131,MZP_000000266
LIZ1_000004382,MZP_000000127
LIZ1_000557549,MZP_000002136
LIZ1_000006472,MZP_000000791
LIZ1_000000142,MZP_000000041
LIZ1_000004429,MZP_000000511
LIZ1_000395989,MZP_000002332
LIZ1_000000115,MZP_000000011
LIZ1_000000740,MZP_000000008
LIZ1_000018759,MZP_000000055
LIZ1_000100754,MZP_000000179
