id,MIN
JI01_000476922,MZP_000000020
JI01_000270586,MZP_000000004
JI01_001089189,MZP_000000001
JI01_000278168,MZP_000000005
JI01_000356522,MZP_000000009
JI01_000291654,MZP_000000006
JI01_000271604,MZP_000000002
JI01_000270644,MZP_000000014
JI01_000270613,MZP_000000010
JI01_000270695,MZP_000000003
JI01_000211096,MZP_000000015
JI01_000271049,MZP_000000019
JI01_000278603,MZP_000000112
JI01_000273148,MZP_000000008
JI01_000328420,MZP_000000007
JI01_000356410,MZP_000000011
JI01_001087752,MZP_000000059
JI01_000598378,MZP_000000040
JI01_000270820,MZP_000000023
JI01_000274006,MZP_000000012
JI01_000272468,MZP_000000029
JI01_000275916,MZP_000000027
JI01_001088181,MZP_000000016
JI01_001229805,MZP_000000024
JI01_000272323,MZP_000000055
JI01_000751793,MZP_000002293
JI01_001250630,MZP_000000030
JI01_000307936,MZP_000000021
JI01_001267423,MZP_000000032
JI01_000319331,MZP_000000017
JI01_001092482,MZP_000000074
JI01_001087755,MZP_000000122
JI01_000277409,MZP_000000056
JI01_000273186,MZP_000000037
JI01_000028440,MZP_000000041
JI01_000278237,MZP_000000075
JI01_000495660,MZP_000000042
JI01_000272692,MZP_000000064
JI01_000866130,MZP_000000031
JI01_000272550,MZP_000000090
JI01_000356309,MZP_000000018
JI01_000476750,MZP_000000195
JI01_000327171,MZP_000000049
JI01_000775368,MZP_000000069
JI01_001185577,MZP_000000094
JI01_000612871,MZP_000000050
JI01_001778699,MZP_000000109
JI01_001294524,MZP_000000047
JI01_001720715,MZP_000000096
JI01_001834070,MZP_000003693
JI01_000288399,MZP_000000143
JI01_001090016,MZP_000000319
JI01_001087772,MZP_000000088
JI01_001691929,MZP_000000083
JI01_001100710,MZP_000000025
JI01_001720887,MZP_000000039
JI01_001229826,MZP_000000034
JI01_001087748,MZP_000000101
JI01_001642469,MZP_000000072
JI01_001528537,MZP_000003694
JI01_001486397,MZP_000000033
JI01_000270923,MZP_000000098
JI01_000275867,MZP_000000255
JI01_000477646,MZP_000000043
JI01_000903108,MZP_000000061
JI01_001118751,MZP_000000802
JI01_001185574,MZP_000000073
JI01_000270665,MZP_000000035
JI01_001444667,MZP_000000086
JI01_000775763,MZP_000000051
JI01_000546438,MZP_000000057
JI01_000277056,MZP_000000081
JI01_001720717,MZP_000000077
JI01_001186817,MZP_000000133
JI01_001692100,MZP_000000070
JI01_001106960,MZP_000000026
JI01_001267613,MZP_000000079
JI01_001250593,MZP_000000232
JI01_000275798,MZP_000000100
JI01_000272539,MZP_000000154
JI01_001491497,MZP_000000440
JI01_001943472,MZP_000000266
JI01_000480759,MZP_000000036
JI01_000271645,MZP_000000048
JI01_001087846,MZP_000000087
JI01_001135211,MZP_000000053
JI01_000546425,MZP_000000129
JI01_001720763,MZP_000000028
JI01_000331125,MZP_000000113
JI01_000200646,MZP_000000202
JI01_000480876,MZP_000003695
JI01_001720767,MZP_000000200
JI01_001088780,MZP_000000123
JI01_001092834,MZP_000000160
JI01_001090185,MZP_000000111
JI01_000309987,MZP_000000104
JI01_000903132,MZP_000000065
JI01_001692424,MZP_000000176
JI01_000273811,MZP_000000127
JI01_000277223,MZP_000002410
JI01_001107617,MZP_000000553
JI01_000276916,MZP_000000045
JI01_000272819,MZP_000000142
JI01_000800732,MZP_000000076
JI01_000279267,MZP_000000080
JI01_001322675,MZP_000000201
JI01_001093289,MZP_000000089
JI01_001463372,MZP_000000062
JI01_000775472,MZP_000000108
JI01_001135322,MZP_000000138
JI01_001557582,MZP_000000078
JI01_000546409,MZP_000002649
JI01_000270885,MZP_000000147
JI01_000477782,MZP_000000136
JI01_001887168,MZP_000000159
JI01_001721060,MZP_000000084
JI01_001447102,MZP_000000189
JI01_000503742,MZP_000000377
JI01_000483271,MZP_000000240
JI01_001413654,MZP_000000093
JI01_001720889,MZP_000000092
JI01_001882417,MZP_000000381
JI01_000371957,MZP_000000145
JI01_001135181,MZP_000000196
JI01_001329005,MZP_000000178
JI01_001769537,MZP_000000120
JI01_000482650,MZP_000000121
JI01_001010654,MZP_000000107
JI01_001416788,MZP_000000152
JI01_001881682,MZP_000000760
JI01_001589886,MZP_000000022
JI01_001720828,MZP_000000119
JI01_000477401,MZP_000000137
JI01_001721298,MZP_000000181
JI01_001721222,MZP_000000115
JI01_000600529,MZP_000000179
JI01_000407886,MZP_000000151
JI01_000943617,MZP_000000191
JI01_001136668,MZP_000000220
JI01_001135132,MZP_000000161
JI01_000675538,MZP_000000209
JI01_001834193,MZP_000000225
JI01_000110794,MZP_000000430
JI01_000827880,MZP_000003452
JI01_000620411,MZP_000000182
JI01_001322679,MZP_000000052
JI01_001060544,MZP_000000164
JI01_001323217,MZP_000000141
JI01_001557786,MZP_000000193
JI01_000275511,MZP_000000187
JI01_001463040,MZP_000000470
JI01_000271918,MZP_000002564
JI01_000276605,MZP_000000162
JI01_000272072,MZP_000000148
JI01_000270708,MZP_000000163
JI01_001325083,MZP_000000158
JI01_000271960,MZP_000000058
JI01_001721471,MZP_000000168
JI01_001322536,MZP_000000477
JI01_000669322,MZP_000000173
JI01_000616944,MZP_000002186
JI01_001135837,MZP_000000219
JI01_000526304,MZP_000002515
JI01_001720773,MZP_000000175
JI01_000410119,MZP_000001730
JI01_000412906,MZP_000000091
JI01_001557937,MZP_000000071
JI01_000183615,MZP_000000271
JI01_000482275,MZP_000000199
JI01_001503870,MZP_000000102
JI01_001589989,MZP_000000157
JI01_001135744,MZP_000000103
JI01_001720885,MZP_000000150
JI01_001247543,MZP_000000711
JI01_001135654,MZP_000000186
JI01_000827228,MZP_000000131
JI01_000998586,MZP_000000128
JI01_000598430,MZP_000000146
JI01_001557785,MZP_000000082
JI01_001088185,MZP_000000205
JI01_000546397,MZP_000000135
JI01_000386292,MZP_000000183
JI01_000911632,MZP_000000234
JI01_001185653,MZP_000000283
JI01_001088099,MZP_000000288
JI01_000667397,MZP_000000066
JI01_001325611,MZP_000000038
JI01_001298356,MZP_000000125
JI01_001186574,MZP_000000461
JI01_000623110,MZP_000000227
JI01_000277857,MZP_000000169
JI01_000951994,MZP_000000296
JI01_001772258,MZP_000000412
JI01_000903149,MZP_000000372
JI01_000999485,MZP_000000396
JI01_001709957,MZP_000000509
JI01_001883351,MZP_000000688
JI01_001322722,MZP_000000233
JI01_000721993,MZP_000000167
JI01_000903334,MZP_000000110
JI01_000290162,MZP_000000203
JI01_001721151,MZP_000000197
JI01_001235007,MZP_000000366
JI01_000903313,MZP_000000328
JI01_001135391,MZP_000000299
JI01_001298408,MZP_000000218
JI01_000631794,MZP_000000270
JI01_001790173,MZP_000000362
JI01_000995278,MZP_000000867
JI01_000289645,MZP_000000208
JI01_000270737,MZP_000001580
JI01_000407232,MZP_000000245
JI01_001694507,MZP_000000239
JI01_000598580,MZP_000003456
JI01_001323024,MZP_000000370
JI01_000271614,MZP_000000044
JI01_001671478,MZP_000000241
JI01_000477818,MZP_000003697
JI01_001557462,MZP_000000247
JI01_000357991,MZP_000000267
JI01_000598856,MZP_000000364
JI01_000625451,MZP_000000177
JI01_001769451,MZP_000000223
JI01_001306696,MZP_000000246
JI01_001314546,MZP_000000117
JI01_001450071,MZP_000000305
JI01_001414016,MZP_000000482
JI01_001781954,MZP_000000171
JI01_001299718,MZP_000000260
JI01_000550154,MZP_000000261
JI01_001693012,MZP_000000184
JI01_001323117,MZP_000000424
JI01_001423657,MZP_000000836
JI01_001322729,MZP_000000180
JI01_001087749,MZP_000000317
JI01_001186436,MZP_000000198
JI01_001779026,MZP_000000331
JI01_000669416,MZP_000000401
JI01_000427393,MZP_000001003
JI01_000941239,MZP_000000327
JI01_001617802,MZP_000000312
JI01_001371006,MZP_000000262
JI01_000489912,MZP_000000067
JI01_000775648,MZP_000002981
JI01_001990136,MZP_000000068
JI01_001884827,MZP_000001962
JI01_001323499,MZP_000000435
JI01_000271189,MZP_000000321
JI01_000630069,MZP_000000259
JI01_000776902,MZP_000000118
JI01_001325305,MZP_000000214
JI01_001433745,MZP_000000344
JI01_000278614,MZP_000000294
JI01_000311828,MZP_000000297
JI01_001684082,MZP_000000116
