id,MIN
LZOX_000167353,MZP_000000001
LZOX_000000064,MZP_000000002
LZOX_000000013,MZP_000000003
LZOX_000000010,MZP_000000004
LZOX_000001811,MZP_000000005
LZOX_000003733,MZP_000000006
LZOX_000119825,MZP_000000007
LZOX_000002103,MZP_000000008
LZOX_000000005,MZP_000000009
LZOX_000001630,MZP_000000010
LZOX_000021246,MZP_000000011
LZOX_000000057,MZP_000000012
LZOX_000167254,MZP_000000013
LZOX_000000033,MZP_000000014
LZOX_000000080,MZP_000000015
LZOX_000167358,MZP_000000016
LZOX_000000012,MZP_000000017
LZOX_000167119,MZP_000000018
LZOX_000000062,MZP_000000019
LZOX_000002503,MZP_000000020
LZOX_000000006,MZP_000000021
LZOX_000046091,MZP_000000022
LZOX_000000113,MZP_000000023
LZOX_000167194,MZP_000000024
LZOX_000153285,MZP_000000025
LZOX_000152957,MZP_000000026
LZOX_000000059,MZP_000000027
LZOX_000167408,MZP_000000028
LZOX_000000047,MZP_000000029
LZOX_000005239,MZP_000000030
LZOX_000115732,MZP_000000031
LZOX_000167068,MZP_000000032
LZOX_000077365,MZP_000000033
LZOX_000082026,MZP_000000034
LZOX_000000009,MZP_000000035
LZOX_000002982,MZP_000000036
LZOX_000000034,MZP_000000037
LZOX_000167741,MZP_000000038
LZOX_000167420,MZP_000000039
LZOX_000002157,MZP_000000040
LZOX_000025207,MZP_000000041
LZOX_000018330,MZP_000000042
LZOX_000057864,MZP_000000043
LZOX_000002009,MZP_000000044
LZOX_000000817,MZP_000000045
LZOX_000000640,MZP_000000046
LZOX_000031272,MZP_000000047
LZOX_000006790,MZP_000000048
LZOX_000020644,MZP_000000049
LZOX_000167056,MZP_000000050
LZOX_000090969,MZP_000000051
LZOX_000167715,MZP_000000052
LZOX_000167647,MZP_000000053
LZOX_000167819,MZP_000000054
LZOX_000002352,MZP_000000055
LZOX_000000019,MZP_000000056
LZOX_000167578,MZP_000000057
LZOX_000000054,MZP_000000058
LZOX_000167197,MZP_000000059
LZOX_000002083,MZP_000000060
LZOX_000042108,MZP_000000061
LZOX_000167662,MZP_000000062
LZOX_000167357,MZP_000000063
LZOX_000006866,MZP_000000064
LZOX_000005831,MZP_000000065
LZOX_000031254,MZP_000000066
LZOX_000000001,MZP_000000067
LZOX_000167201,MZP_000000068
LZOX_000090970,MZP_000000069
LZOX_000222107,MZP_000000070
LZOX_000167334,MZP_000000071
LZOX_000167576,MZP_000000072
LZOX_000167371,MZP_000000073
LZOX_000153884,MZP_000000074
LZOX_000006902,MZP_000000075
LZOX_000082500,MZP_000000076
LZOX_000167446,MZP_000000077
LZOX_000167555,MZP_000000078
LZOX_000167204,MZP_000000079
LZOX_000023663,MZP_000000080
LZOX_000016394,MZP_000000081
LZOX_000222067,MZP_000000082
LZOX_000167071,MZP_000000083
LZOX_000167086,MZP_000000084
LZOX_000167623,MZP_000000085
LZOX_000167085,MZP_000000086
LZOX_000167649,MZP_000000087
LZOX_000167590,MZP_000000088
LZOX_000167638,MZP_000000089
LZOX_000023678,MZP_000000090
LZOX_000002343,MZP_000000091
LZOX_000167448,MZP_000000092
LZOX_000153870,MZP_000000093
LZOX_000167359,MZP_000000094
LZOX_000082125,MZP_000000095
LZOX_000167456,MZP_000000096
LZOX_000017645,MZP_000000097
LZOX_000002548,MZP_000000098
LZOX_000167780,MZP_000000099
LZOX_000006823,MZP_000000100
LZOX_000222873,MZP_000000101
LZOX_000167072,MZP_000000102
LZOX_000167220,MZP_000000103
LZOX_000125837,MZP_000000104
LZOX_000167807,MZP_000000105
LZOX_000023656,MZP_000000106
LZOX_000024520,MZP_000000107
LZOX_000011025,MZP_000000108
LZOX_000222193,MZP_000000109
LZOX_000012981,MZP_000000110
LZOX_000115740,MZP_000000111
LZOX_000168745,MZP_000000112
LZOX_000082030,MZP_000000113
LZOX_000167212,MZP_000000114
LZOX_000167472,MZP_000000115
LZOX_000153834,MZP_000000116
LZOX_000167533,MZP_000000117
LZOX_000112078,MZP_000000118
LZOX_000167431,MZP_000000119
LZOX_000167554,MZP_000000120
LZOX_000032929,MZP_000000121
LZOX_000167589,MZP_000000122
LZOX_000222130,MZP_000000123
LZOX_000167660,MZP_000000124
LZOX_000167804,MZP_000000125
LZOX_000223058,MZP_000000126
LZOX_000003135,MZP_000000127
LZOX_000078840,MZP_000000128
LZOX_000077484,MZP_000000129
LZOX_000012913,MZP_000000130
LZOX_000113680,MZP_000000131
LZOX_000167507,MZP_000000132
LZOX_000167723,MZP_000000133
LZOX_000026677,MZP_000000134
LZOX_000020698,MZP_000000135
LZOX_000074439,MZP_000000136
LZOX_000120019,MZP_000000137
LZOX_000222964,MZP_000000138
LZOX_000120020,MZP_000000139
LZOX_000277339,MZP_000000140
LZOX_000167120,MZP_000000141
LZOX_000000060,MZP_000000142
LZOX_000076715,MZP_000000143
LZOX_000120018,MZP_000000144
LZOX_000134005,MZP_000000145
LZOX_000120181,MZP_000000146
LZOX_000006779,MZP_000000147
LZOX_000017268,MZP_000000148
LZOX_000119929,MZP_000000149
LZOX_000167440,MZP_000000150
LZOX_000021675,MZP_000000151
LZOX_000208233,MZP_000000152
LZOX_000002361,MZP_000000153
LZOX_000025280,MZP_000000154
LZOX_000167234,MZP_000000155
LZOX_000000690,MZP_000000156
LZOX_000167059,MZP_000000157
LZOX_000377255,MZP_000000158
LZOX_000241480,MZP_000000159
LZOX_000191116,MZP_000000160
LZOX_000283072,MZP_000000161
LZOX_000017435,MZP_000000162
LZOX_000089023,MZP_000000163
LZOX_000002854,MZP_000000164
LZOX_000078756,MZP_000000165
LZOX_000091493,MZP_000000166
LZOX_000006192,MZP_000000167
LZOX_000222749,MZP_000000168
LZOX_000002623,MZP_000000169
LZOX_000167106,MZP_000000170
LZOX_000292299,MZP_000000171
LZOX_000197095,MZP_000000172
LZOX_000144528,MZP_000000173
LZOX_000072334,MZP_000000174
LZOX_000222735,MZP_000000175
LZOX_000222100,MZP_000000176
LZOX_000167528,MZP_000000177
LZOX_000219076,MZP_000000178
LZOX_000144556,MZP_000000179
LZOX_000167731,MZP_000000180
LZOX_000303984,MZP_000000181
LZOX_000167546,MZP_000000182
LZOX_000091250,MZP_000000183
LZOX_000249431,MZP_000000184
LZOX_000000039,MZP_000000185
LZOX_000222338,MZP_000000186
LZOX_000000018,MZP_000000187
LZOX_000167331,MZP_000000188
LZOX_000222776,MZP_000000189
LZOX_000207030,MZP_000000190
LZOX_000119872,MZP_000000191
LZOX_000043450,MZP_000000192
LZOX_000167540,MZP_000000193
LZOX_000081815,MZP_000000194
LZOX_000074610,MZP_000000195
LZOX_000167639,MZP_000000196
LZOX_000222650,MZP_000000197
LZOX_000167383,MZP_000000198
LZOX_000006852,MZP_000000199
LZOX_000222723,MZP_000000200
LZOX_000167720,MZP_000000201
LZOX_000000079,MZP_000000202
LZOX_000032104,MZP_000000203
LZOX_000167603,MZP_000000204
LZOX_000222954,MZP_000000205
LZOX_000023659,MZP_000000206
LZOX_000017227,MZP_000000207
LZOX_000001242,MZP_000000208
LZOX_000008201,MZP_000000209
LZOX_000003711,MZP_000000210
LZOX_000081685,MZP_000000211
LZOX_000006777,MZP_000000212
LZOX_000067022,MZP_000000213
LZOX_000268434,MZP_000000214
LZOX_000167373,MZP_000000215
LZOX_000235315,MZP_000000216
LZOX_000022793,MZP_000000217
LZOX_000268743,MZP_000000218
LZOX_000338165,MZP_000000219
LZOX_000314804,MZP_000000220
LZOX_000222053,MZP_000000221
LZOX_000223317,MZP_000000222
LZOX_000406375,MZP_000000223
LZOX_000258670,MZP_000000224
LZOX_000223257,MZP_000000225
LZOX_000152925,MZP_000000226
LZOX_000006977,MZP_000000227
LZOX_000355100,MZP_000000228
LZOX_000022716,MZP_000000229
LZOX_000343550,MZP_000000230
LZOX_000081853,MZP_000000231
LZOX_000089142,MZP_000000232
LZOX_000167575,MZP_000000233
LZOX_000144693,MZP_000000234
LZOX_000003613,MZP_000000235
LZOX_000017236,MZP_000000236
LZOX_000216140,MZP_000000237
LZOX_000000098,MZP_000000238
LZOX_000254668,MZP_000000239
LZOX_000144573,MZP_000000240
LZOX_000119886,MZP_000000241
LZOX_000023669,MZP_000000242
LZOX_000006796,MZP_000000243
LZOX_000023685,MZP_000000244
LZOX_000006815,MZP_000000245
LZOX_000222255,MZP_000000246
LZOX_000268442,MZP_000000247
LZOX_000030078,MZP_000000248
LZOX_000017225,MZP_000000249
LZOX_000115844,MZP_000000250
LZOX_000219693,MZP_000000251
LZOX_000246256,MZP_000000252
LZOX_000224107,MZP_000000253
LZOX_000088523,MZP_000000254
LZOX_000058185,MZP_000000255
LZOX_000144547,MZP_000000256
LZOX_000006843,MZP_000000257
LZOX_000099647,MZP_000000258
LZOX_000000007,MZP_000000259
LZOX_000361041,MZP_000000260
LZOX_000014768,MZP_000000261
LZOX_000118036,MZP_000000262
LZOX_000167740,MZP_000000263
LZOX_000021703,MZP_000000264
LZOX_000077241,MZP_000000265
LZOX_000293699,MZP_000000266
LZOX_000076684,MZP_000000267
LZOX_000363961,MZP_000000268
LZOX_000365042,MZP_000000269
LZOX_000155632,MZP_000000270
LZOX_000003705,MZP_000000271
LZOX_000204245,MZP_000000272
LZOX_000006898,MZP_000000273
LZOX_000006798,MZP_000000274
LZOX_000239724,MZP_000000275
LZOX_000144529,MZP_000000276
LZOX_000017251,MZP_000000277
LZOX_000091520,MZP_000000278
LZOX_000078541,MZP_000000279
LZOX_000017229,MZP_000000280
LZOX_000223148,MZP_000000281
LZOX_000229391,MZP_000000282
LZOX_000292984,MZP_000000283
LZOX_000234951,MZP_000000284
LZOX_000003685,MZP_000000285
LZOX_000410114,MZP_000000286
LZOX_000242696,MZP_000000287
